# 6-DOF UR5 robot arm csv file for V-REP animation.
# All lines beginning with # are treated as a comment and ignored.
# Each line below is of the form
# jt1ang, jt2ang, jt3ang, jt4ang, jt5ang, jt6ang
# where each joint angle is expressed in radians.
3.287533,-1.328865,0.160757,0.180018,0.112511,0.090009
3.320585,-1.312251,0.171832,0.197645,0.123528,0.098823
3.352711,-1.298214,0.181191,0.214779,0.134237,0.107390
3.383830,-1.286891,0.188739,0.231376,0.144610,0.115688
3.413865,-1.278398,0.194402,0.247394,0.154622,0.123697
3.442740,-1.272818,0.198121,0.262795,0.164247,0.131397
3.470384,-1.270207,0.199862,0.277538,0.173461,0.138769
3.496727,-1.270592,0.199605,0.291588,0.182242,0.145794
3.521703,-1.273968,0.197354,0.304908,0.190568,0.152454
3.545251,-1.280303,0.193132,0.317467,0.198417,0.158734
3.567311,-1.289531,0.186979,0.329232,0.205770,0.164616
3.587827,-1.301563,0.178958,0.340175,0.212609,0.170087
3.606750,-1.316276,0.169149,0.350267,0.218917,0.175133
3.624031,-1.333524,0.157650,0.359483,0.224677,0.179742
3.639627,-1.353136,0.144576,0.367801,0.229876,0.183901
3.653500,-1.374914,0.130058,0.375200,0.234500,0.187600
3.665614,-1.398641,0.114239,0.381661,0.238538,0.190830
3.675940,-1.424080,0.097280,0.387168,0.241980,0.193584
3.684451,-1.450978,0.079348,0.391707,0.244817,0.195854
3.691126,-1.479064,0.060624,0.395267,0.247042,0.197634
3.695949,-1.508060,0.041293,0.397840,0.248650,0.198920
3.698908,-1.537674,0.021551,0.399417,0.249636,0.199709
3.699994,-1.567611,0.001593,0.399997,0.249998,0.199998
3.699206,-1.597572,-0.018381,0.399577,0.249735,0.199788
3.696545,-1.627258,-0.038172,0.398158,0.248848,0.199079
3.692019,-1.656371,-0.057581,0.395743,0.247340,0.197872
3.685637,-1.684621,-0.076414,0.392340,0.245212,0.196170
3.677417,-1.711727,-0.094484,0.387956,0.242472,0.193978
3.667379,-1.737416,-0.111610,0.382602,0.239126,0.191301
3.655548,-1.761432,-0.127621,0.376292,0.235183,0.188146
3.641953,-1.783536,-0.142357,0.369042,0.230651,0.184521
3.626629,-1.803506,-0.155670,0.360869,0.225543,0.180434
3.609613,-1.821143,-0.167428,0.351794,0.219871,0.175897
3.590949,-1.836270,-0.177513,0.341840,0.213650,0.170920
3.570683,-1.848737,-0.185825,0.331031,0.206894,0.165515
3.548865,-1.858419,-0.192279,0.319395,0.199622,0.159697
3.525551,-1.865220,-0.196813,0.306960,0.191850,0.153480
3.500798,-1.869070,-0.199380,0.293759,0.183599,0.146879
3.474668,-1.869932,-0.199955,0.279823,0.174889,0.139911
3.447227,-1.867798,-0.198532,0.265188,0.165742,0.132594
3.418543,-1.862688,-0.195125,0.249890,0.156181,0.124945
3.388688,-1.854653,-0.189769,0.233967,0.146229,0.116983
3.357736,-1.843775,-0.182516,0.217459,0.135912,0.108730
3.325766,-1.830161,-0.173440,0.200408,0.125255,0.100204
3.292856,-1.813947,-0.162631,0.182856,0.114285,0.091428
3.259089,-1.795296,-0.150197,0.164847,0.103030,0.082424
3.224549,-1.774394,-0.136263,0.146426,0.091516,0.073213
3.189324,-1.751450,-0.120967,0.127639,0.079775,0.063820
3.153500,-1.726693,-0.104462,0.108533,0.067833,0.054267
3.117167,-1.700370,-0.086913,0.089156,0.055722,0.044578
3.080417,-1.672744,-0.068496,0.069556,0.043472,0.034778
3.043341,-1.644092,-0.049395,0.049782,0.031114,0.024891
3.006031,-1.614700,-0.029800,0.029883,0.018677,0.014942
2.968582,-1.584861,-0.009907,0.009910,0.006194,0.004955
2.931085,-1.554873,0.010085,-0.010088,-0.006305,-0.005044
2.893637,-1.525037,0.029975,-0.030060,-0.018788,-0.015030
2.856329,-1.495650,0.049567,-0.049958,-0.031224,-0.024979
2.819255,-1.467006,0.068663,-0.069731,-0.043582,-0.034865
2.782508,-1.439390,0.087073,-0.089329,-0.055831,-0.044665
2.746180,-1.413080,0.104613,-0.108704,-0.067940,-0.054352
2.710361,-1.388338,0.121108,-0.127808,-0.079880,-0.063904
2.675141,-1.365411,0.136393,-0.146592,-0.091620,-0.073296
2.640608,-1.344528,0.150315,-0.165009,-0.103131,-0.082505
2.606848,-1.325898,0.162735,-0.183014,-0.114384,-0.091507
2.573946,-1.309707,0.173529,-0.200562,-0.125351,-0.100281
2.541984,-1.296116,0.182589,-0.217608,-0.136005,-0.108804
